lemma,pos,suffix,anchor,qid,sid,etym,status,first_seen,last_seen,forms,glosses
actinula,noun,1,sig:actinulae,,,,active,2025-08-17,2025-08-17,actinulae,
actus,noun,1,sig:acti,,,,active,2025-08-17,2025-08-17,acti,
actus,noun,2,sig:actus,,,,active,2025-08-17,2025-08-17,actus,
aculeus,noun,1,sig:aculei,,,,active,2025-08-17,2025-08-17,aculei,
acumen,noun,2,sig:acumina,,,,active,2025-08-17,2025-08-17,acumina,
acylazolium,noun,1,sig:acylazoliums,,,,active,2025-08-17,2025-08-17,acylazoliums,
acyliminium,noun,1,sig:acyliminiums,,,,active,2025-08-17,2025-08-17,acyliminiums,
acylimmonium,noun,1,sig:acylimmoniums,,,,active,2025-08-17,2025-08-17,acylimmoniums,
acylium,noun,1,sig:acyliums,,,,active,2025-08-17,2025-08-17,acyliums,
acyloxy,noun,1,sig:acyloxys,,,,active,2025-08-17,2025-08-17,acyloxys,
adamantinoma,noun,2,sig:adamantinomata,,,,active,2025-08-17,2025-08-17,adamantinomata,
adas,noun,2,sig:adass,,,,active,2025-08-17,2025-08-17,adass,
addax,noun,2,sig:addax,,,,active,2025-08-17,2025-08-17,addax,
addendum,noun,2,sig:addendums,,,,active,2025-08-17,2025-08-17,addendums,
adductor,noun,2,sig:adductores,,,,active,2025-08-17,2025-08-17,adductores,
adeagus,noun,1,sig:adeagi,,,,active,2025-08-17,2025-08-17,adeagi,
adelantado,noun,2,sig:adelantadoes,,,,active,2025-08-17,2025-08-17,adelantadoes,
adelphotaxon,noun,1,sig:adelphotaxa,,,,active,2025-08-17,2025-08-17,adelphotaxa,
adenitis,noun,2,sig:adenitides,,,,active,2025-08-17,2025-08-17,adenitides,
adenium,noun,1,sig:adeniums,,,,active,2025-08-17,2025-08-17,adeniums,
adenoacanthoma,noun,2,sig:adenoacanthomata,,,,active,2025-08-17,2025-08-17,adenoacanthomata,
adenocarcinoma,noun,2,sig:adenocarcinomata,,,,active,2025-08-17,2025-08-17,adenocarcinomata,
adenofibroma,noun,2,sig:adenofibromata,,,,active,2025-08-17,2025-08-17,adenofibromata,
adenolymphangitis,noun,1,sig:adenolymphangitides,,,,active,2025-08-17,2025-08-17,adenolymphangitides,
adenolymphitis,noun,1,sig:adenolymphites,,,,active,2025-08-17,2025-08-17,adenolymphites,
adenolymphoma,noun,2,sig:adenolymphomata,,,,active,2025-08-17,2025-08-17,adenolymphomata,
adenoma,noun,2,sig:adenomata,,,,active,2025-08-17,2025-08-17,adenomata,
adenomyoma,noun,2,sig:adenomyomata,,,,active,2025-08-17,2025-08-17,adenomyomata,
adenosarcoma,noun,2,sig:adenosarcomata,,,,active,2025-08-17,2025-08-17,adenosarcomata,
adf,noun,1,sig:adfs,,,,active,2025-08-17,2025-08-17,adfs,
adhisthana,noun,2,sig:adhisthana,,,,active,2025-08-17,2025-08-17,adhisthana,
adhola,noun,1,sig:adhola,,,,active,2025-08-17,2025-08-17,adhola,
adiantum,noun,2,sig:adiantums,,,,active,2025-08-17,2025-08-17,adiantums,
adiaphoron,noun,1,sig:adiaphora,,,,active,2025-08-17,2025-08-17,adiaphora,
adibasi,noun,2,sig:adibasi,,,,active,2025-08-17,2025-08-17,adibasi,
adidas,noun,2,sig:adidas,,,,active,2025-08-17,2025-08-17,adidas,
adieu,noun,2,sig:adieux,,,,active,2025-08-17,2025-08-17,adieux,
adinkra,noun,2,sig:adinkra,,,,active,2025-08-17,2025-08-17,adinkra,
adipoma,noun,2,sig:adipomata,,,,active,2025-08-17,2025-08-17,adipomata,
aditus,noun,1,sig:aditus,,,,active,2025-08-17,2025-08-17,aditus,
adivasi,noun,2,sig:adivasi,,,,active,2025-08-17,2025-08-17,adivasi,
adiz,noun,2,sig:adizes,,,,active,2025-08-17,2025-08-17,adizes,
administrativia,noun,1,sig:administrativia,,,,active,2025-08-17,2025-08-17,administrativia,
administratorix,noun,1,sig:administratorices,,,,active,2025-08-17,2025-08-17,administratorices,
administratrix,noun,2,sig:administratrixes,,,,active,2025-08-17,2025-08-17,administratrixes,
