infinitive,third_person_singular,past,present_participle,past_participle
behelp,behelps,behelped,behelping,behelped
latch,latches,latched,latching,latched
chum,chums,chummed,chumming,chummed
driftnet,driftnets,driftnetted,driftnetting,driftnetted
detrench,detrenches,detrenched,detrenching,detrenched
goop,goops,gooped,gooping,gooped
dildo,dildoes,dildoed,dildoing,dildoed
webcam,webcams,webcammed,webcamming,webcammed
bruitify,bruitifies,bruitified,bruitifying,bruitified
unclamp,unclamps,unclamped,unclamping,unclamped
beshut,beshuts,beshut,beshutting,beshut
knot,knots,knotted,knotting,knotted
ricochet,ricochets,ricochetted,ricochetting,ricochetted
upswell,upswells,upswelled,upswelling,upswollen
resignal,resignals,resignalled,resignalling,resignalled
babyfy,babyfies,babyfied,babyfying,babyfied
outeat,outeats,outate,outeating,outeaten
blam,blams,blammed,blamming,blammed
repot,repots,repotted,repotting,repotted
underlay,underlays,underlaid,underlaying,underlaid
outdrink,outdrinks,outdrank,outdrinking,outdrunk
skibidi,skibidis,skibidied,skibiding,skibidied
canoe,canoes,canoed,canoeing,canoed
besend,besends,besent,besending,besent
typify,typifies,typified,typifying,typified
overstrew,overstrews,overstrewed,overstrewing,overstrewn
courtmartial,courtmartials,courtmartialled,courtmartialling,courtmartialled
permban,permbans,permbanned,permbanning,permbanned
inspiral,inspirals,inspiralled,inspiralling,inspiralled
can,can,could,able,caned
reflag,reflags,reflagged,reflagging,reflagged
patch,patches,patched,patching,patched
fag,fags,fagged,fagging,fagged
clem,clems,clemmed,clemming,clemmed
bespot,bespots,bespotted,bespotting,bespotted
brooch,brooches,brooched,brooching,brooched
nonpros,nonprosses,nonprossed,nonprossing,nonprossed
forleet,forleets,forleet,forleeting,forleet
bloodlet,bloodlets,bloodlet,bloodletting,bloodlet
fricassee,fricassees,fricasseed,fricasseeing,fricasseed
bespeech,bespeeches,bespeeched,bespeeching,bespeeched
outstrip,outstrips,outstript,outstripping,outstript
eate,eates,ate,eateing,eaten
rts,rtss,rtsed,rtsing,rtsed
abstractify,abstractifies,abstractified,abstractifying,abstractified
redefer,redefers,redeferred,redeferring,redeferred
arreede,arreedes,arred,arreeding,arred
forthink,forthinks,forthought,forthinking,forthought
reshave,reshaves,reshaved,reshaving,reshaven
unfocus,unfocusses,unfocussed,unfocussing,unfocussed
wigwag,wigwags,wigwagged,wigwagging,wigwagged
outsweep,outsweeps,outswept,outsweeping,outswept
channel,channels,channeled,channelling,channeled
spulzie,spulzies,spulzied,spulzying,spulzied
bluesify,bluesifies,bluesified,bluesifying,bluesified
glob,globs,globbed,globbing,globbed
slim,slims,slimmed,slimming,slimmed
bedrive,bedrives,bedrove,bedriving,bedriven
scallop,scallops,scalloped,scalloping,scalloped
hag,hags,hagged,hagging,hagged
scotify,scotifies,scotified,scotifying,scotified
blandify,blandifies,blandified,blandifying,blandified
withset,withsets,withset,withsetting,withset
biomodify,biomodifies,biomodified,biomodifying,biomodified
misidentify,misidentifies,misidentified,misidentifying,misidentified
restrive,restrives,restrove,restriving,restriven
overqualify,overqualifies,overqualified,overqualifying,overqualified
filthify,filthifies,filthified,filthifying,filthified
search,searches,searched,searching,searched
