infinitive,third_person_singular,past,present_participle,past_participle
unmagnify,unmagnifies,unmagnified,unmagnifying,unmagnified
fistbump,fistbumps,fistbumped,fistbumping,fistbumped
buffalo,buffaloes,buffaloed,buffaloing,buffaloed
overhold,overholds,overheld,overholding,overholden
unstring,unstrings,unstrung,unstringing,unstrung
improv,improvs,improvved,improvving,improvved
outwear,outwears,outwore,outwearing,outworn
besmirch,besmirches,besmirched,besmirching,besmirched
delignify,delignifies,delignified,delignifying,delignified
xerify,xerifies,xerified,xerifying,xerified
offgas,offgasses,offgassed,offgassing,offgassed
forethink,forethinks,forethought,forethinking,forethought
indef,indefs,indeffed,indeffing,indeffed
spiral,spirals,spiralled,spiralling,spiralled
partake,partakes,partook,partaking,partaken
sparsify,sparsifies,sparsified,sparsifying,sparsified
gyrify,gyrifies,gyrified,gyrifying,gyrified
fianchetto,fianchettoes,fianchettoed,fianchettoing,fianchettoed
racebend,racebends,racebent,racebending,racebent
tea,teas,tead,teaing,tead
overrev,overrevs,overrevved,overrevving,overrevved
forcleave,forcleaves,forclove,forcleaving,forcloven
fullbring,fullbrings,fullbrought,fullbringing,fullbrought
sautee,sautees,sauteed,sauteeing,sauteed
crossfit,crossfits,crossfitted,crossfitting,crossfitted
overclub,overclubs,overclubbed,overclubbing,overclubbed
rediversify,rediversifies,rediversified,rediversifying,rediversified
outspread,outspreads,outspread,outspreading,outspread
hellify,hellifies,hellified,hellifying,hellified
sneak,sneaks,snuck,sneaking,snuck
misplan,misplans,misplanned,misplanning,misplanned
stubbify,stubbifies,stubbified,stubbifying,stubbified
devel,devels,develled,develling,develled
handhold,handholds,handheld,handholding,handheld
injury,injuries,injuried,injurying,injuried
restump,restumps,restumped,restumping,restumped
enturban,enturbans,enturbanned,enturbanning,enturbanned
slug,slugs,slugged,slugging,slugged
upbear,upbears,upbore,upbearing,upborne
beseech,beseeches,besought,beseeching,besought
alledg,alledges,alledged,alledging,alledged
israelify,israelifies,israelified,israelifying,israelified
depin,depins,depinned,depinning,depinned
nut,nuts,nutted,nutting,nutted
skitch,skitches,skitched,skitching,skitched
crunch,crunches,crunched,crunching,crunched
threap,threaps,threapt,threaping,threapt
incroach,incroaches,incroached,incroaching,incroached
stallfeed,stallfeeds,stallfed,stallfeeding,stallfed
bepommel,bepommels,bepommelled,bepommelling,bepommelled
copen,copens,copenned,copenning,copenned
squelch,squelches,squelched,squelching,squelched
slouch,slouches,slouched,slouching,slouched
gel,gels,gelled,gelling,gelled
ew,ews,ewwed,ewwing,ewwed
pritch,pritches,pritched,pritching,pritched
tourniquet,tourniquets,tourniquetted,tourniquetting,tourniquetted
grob,grobs,grobbed,grobbing,grobbed
misdeal,misdeals,misdealt,misdealing,misdealt
underkeep,underkeeps,underkept,underkeeping,underkept
march,marches,marched,marching,marched
berascal,berascals,berascalled,berascalling,berascalled
outsimp,outsimps,outsimped,outsimping,outsimped
serry,serries,serried,serrying,serried
gurks,gurks,gurksed,gurksing,gurksed
embed,embeds,embedded,embedding,embedded
medivac,medivacs,medivacked,medivacing,medivacked
soapify,soapifies,soapified,soapifying,soapified
conge,conges,conged,congeing,conged
output,outputs,outputted,outputting,outputted
blab,blabs,blabbed,blabbing,blabbed
ungrasp,ungrasps,ungrasped,ungrasping,ungrasped
matchmake,matchmakes,matchmade,matchmaking,matchmade
rookie,rookies,rookied,rookying,rookied
sophonsify,sophonsifies,sophonsified,sophonsifying,sophonsified
strawberry,strawberries,strawberried,strawberrying,strawberried
pee,pees,peed,peeing,peed
electroblot,electroblots,electroblotted,electroblotting,electroblotted
credential,credentials,credentialled,credentialling,credentialled
unhold,unholds,unheld,unholding,unholden
flat,flats,flatted,flatting,flatted
forespeak,forespeaks,forespoke,forespeaking,forespoken
mouthsoap,mouthsoaps,mouthsoaped,mouthsoaping,mouthsoaped
unbite,unbites,unbit,unbiting,unbitten
dognap,dognaps,dognaped,dognaping,dognaped
georgify,georgifies,georgified,georgifying,georgified
lanch,lanches,lanched,lanching,lanched
rerefer,rerefers,rereferred,rereferring,rereferred
shin,shins,shinned,shinning,shinned
at,ats,atted,atting,atted
coppel,coppels,coppelled,coppelling,coppelled
learn,learns,learnt,learning,learnt
unfuel,unfuels,unfuelled,unfuelling,unfuelled
lollop,lollops,lolloped,lolloping,lolloped
gaudify,gaudifies,gaudified,gaudifying,gaudified
scoop,scoops,scooped,scooping,scooped
ig,igs,igged,igging,igged
rud,ruds,rudded,rudding,rudded
ballyrag,ballyrags,ballyragged,ballyragging,ballyragged
throe,throes,throed,throeing,throed
refortify,refortifies,refortified,refortifying,refortified
daresay,daresays,daresaid,daresaying,daresaid
counterdye,counterdyes,counterdyed,counterdyeing,counterdyed
glide,glides,glid,gliding,glidden
towind,towinds,towound,towinding,towound
underdamp,underdamps,underdamped,underdamping,underdamped
togo,togoes,towent,togoing,togone
aggroup,aggroups,aggrouped,aggrouping,aggrouped
outmarvel,outmarvels,outmarvelled,outmarvelling,outmarvelled
unloop,unloops,unlooped,unlooping,unlooped
unread,unreads,unread,unreading,unread
joozh,joozhes,joozhed,joozhing,joozhed
pree,prees,preed,preeing,preed
unsmell,unsmells,unsmelt,unsmelling,unsmelt
testbed,testbeds,testbed,testbedding,testbed
espy,espies,espied,espying,espied
outbuy,outbuys,outbought,outbuying,outbought
enfrenzy,enfrenzies,enfrenzied,enfrenzying,enfrenzied
overplot,overplots,overplotted,overplotting,overplotted
lapidify,lapidifies,lapidified,lapidifying,lapidified
sexfight,sexfights,sexfought,sexfighting,sexfought
shut,shuts,shut,shutting,shut
lasso,lassoes,lassoed,lassoing,lassoed
rendevous,rendevous,rendevoused,rendevousing,rendevoused
degasify,degasifies,degasified,degasifying,degasified
unpay,unpays,unpaid,unpaying,unpaid
belead,beleads,beled,beleading,beled
sling,slings,slang,slinging,slang
plurisignify,plurisignifies,plurisignified,plurisignifying,plurisignified
cratedig,cratedigs,cratedug,cratedigging,cratedug
debag,debags,debagged,debagging,debagged
cully,cullies,cullied,cullying,cullied
underbuild,underbuilds,underbuilt,underbuilding,underbuilt
housebreak,housebreaks,housebroke,housebreaking,housebroken
snugify,snugifies,snugified,snugifying,snugified
prin,prins,prinned,prinning,prinned
insee,insees,insaw,inseeing,inseen
haue,has,hadde,hauing,hadde
equalify,equalifies,equalified,equalifying,equalified
redie,redies,redied,redying,redied
omit,omits,omitted,omitting,omitted
scrat,scrats,scratted,scratting,scratted
regag,regags,regagged,regagging,regagged
carrie,carries,carried,carrying,carried
munify,munifies,munified,munifying,munified
busybody,busybodies,busybodied,busybodying,busybodied
behat,behats,behatted,behatting,behatted
shrag,shrags,shragged,shragging,shragged
lamp,lamps,lamped,lamping,lamped
overhear,overhears,overheard,overhearing,overheard
staystitch,staystitches,staystitched,staystitching,staystitched
intercur,intercurs,intercurred,intercurring,intercurred
unget,ungets,ungot,ungetting,ungotten
bloop,bloops,blooped,blooping,blooped
autoclassify,autoclassifies,autoclassified,autoclassifying,autoclassified
foreset,foresets,foreset,foresetting,foreset
chut,chuts,chutted,chutting,chutted
cudgel,cudgels,cudgelled,cudgelling,cudgelled
vilify,vilifies,vilified,vilifying,vilified
hyperfocus,hyperfocuses,hyperfocussed,hyperfocussing,hyperfocussed
unstick,unsticks,unstuck,unsticking,unstuck
yuppify,yuppifies,yuppified,yuppifying,yuppified
bescorch,bescorches,bescorched,bescorching,bescorched
cablegram,cablegrams,cablegrammed,cablegramming,cablegrammed
upbind,upbinds,upbound,upbinding,upbound
bede,bedes,bade,beding,boden
fingerspell,fingerspells,fingerspelt,fingerspelling,fingerspelt
leach,leaches,leached,leaching,leached
besmutch,besmutches,besmutched,besmutching,besmutched
pre,pres,preed,preing,preed
bandsaw,bandsaws,bandsawed,bandsawing,bandsawn
hanch,hanches,hanched,hanching,hanched
denet,denets,denetted,denetting,denetted
pouch,pouches,pouched,pouching,pouched
schtoop,schtoops,schtooped,schtooping,schtooped
outsmell,outsmells,outsmelt,outsmelling,outsmelt
envelop,envelops,enveloped,enveloping,enveloped
upsweep,upsweeps,upswept,upsweeping,upswept
underlevel,underlevels,underlevelled,underlevelling,underlevelled
medal,medals,medalled,medalling,medalled
barbacue,barbacues,barbacued,barbacueing,barbacued
begin,begins,began,beginning,begun
batman,batmans,batmanned,batmanning,batmanned
unmatch,unmatches,unmatched,unmatching,unmatched
outrun,outruns,outran,outrunning,outrun
babywear,babywears,babywore,babywearing,babyworn
lol,lols,lold,loling,lold
besteal,besteals,bestole,bestealing,bestolen
methylesterify,methylesterifies,methylesterified,methylesterifying,methylesterified
half,halves,halved,halving,halved
cybersquat,cybersquats,cybersquatted,cybersquatting,cybersquatted
viewbot,viewbots,viewbotted,viewbotting,viewbotted
splotch,splotches,splotched,splotching,splotched
vasal,vasals,vasalled,vasalling,vasalled
genocopy,genocopies,genocopied,genocopying,genocopied
vexe,vexes,vext,vexeing,vext
swag,swags,swagged,swagging,swagged
misfall,misfalls,misfell,misfalling,misfallen
monocrop,monocrops,monocroped,monocroping,monocroped
polyesterify,polyesterifies,polyesterified,polyesterifying,polyesterified
oversimplify,oversimplifies,oversimplified,oversimplifying,oversimplified
sac,sacs,sacced,saccing,sacced
cherry,cherries,cherried,cherrying,cherried
ensweep,ensweeps,enswept,ensweeping,enswept
stig,stigs,stigged,stigging,stigged
don,dons,donned,donning,donned
unsharp,unsharps,unsharped,unsharping,unsharped
queep,queeps,queeped,queeping,queeped
stog,stog,stogged,stogging,stogged
thrum,thrums,thrummed,thrumming,thrummed
humidify,humidifies,humidified,humidifying,humidified
roofie,roofies,roofied,roofieing,roofied
meg,megs,megged,megging,megged
bikenap,bikenaps,bikenaped,bikenaping,bikenaped
outdevil,outdevils,outdevilled,outdevilling,outdevilled
screengrab,screengrabs,screengrabbed,screengrabbing,screengrabbed
anagram,anagrams,anagrammed,anagramming,anagrammed
recut,recuts,recut,recutting,recut
clot,clots,clotted,clotting,clotted
strim,strims,strimmed,strimming,strimmed
spin,spins,span,spinning,spun
screenshot,screenshots,screenshot,screenshotting,screenshot
drug,drugs,drugged,drugging,drugged
interlie,interlies,interlay,interlying,interlain
undye,undyes,undyed,undyeing,undyed
phony,phonies,phonied,phonying,phonied
develop,develops,developed,developing,developed
betell,betells,betold,betelling,betold
storify,storifies,storified,storifying,storified
rid,rids,ridded,ridding,ridded
dethatch,dethatches,dethatched,dethatching,dethatched
cat,cats,catted,catting,catted
agree,agrees,agreed,agreeing,agreed
rejapan,rejapans,rejapanned,rejapanning,rejapanned
stiltify,stiltifies,stiltified,stiltifying,stiltified
van,vans,vanned,vanning,vanned
outdream,outdreams,outdreamt,outdreaming,outdreamt
birddog,birddogs,birddogged,birddogging,birddogged
dowry,dowries,dowried,dowrying,dowried
entify,entifies,entified,entifying,entified
fantasy,fantasies,fantasied,fantasying,fantasied
escarp,escarps,escarped,escarping,escarped
reaccompany,reaccompanies,reaccompanied,reaccompanying,reaccompanied
sench,senches,senched,senching,senched
traunch,traunches,traunched,traunching,traunched
tub,tubs,tubbed,tubbing,tubbed
repermit,repermits,repermitted,repermitting,repermitted
backtab,backtabs,backtabbed,backtabbing,backtabbed
mispay,mispays,mispaid,mispaying,mispaid
epitypify,epitypifies,epitypified,epitypifying,epitypified
prussify,prussifies,prussified,prussifying,prussified
unparcel,unparcels,unparcelled,unparcelling,unparcelled
retarmac,retarmacs,retarmacked,retarmacking,retarmacked
outplan,outplans,outplanned,outplanning,outplanned
repanel,repanels,repanelled,repanelling,repanelled
beswear,beswears,beswore,beswearing,besworn
motify,motifies,motified,motifying,motified
dunch,dunches,dunched,dunchin,dunched
unwig,unwigs,unwigged,unwigging,unwigged
embargo,embargoes,embargoed,embargoing,embargoed
depeg,depegs,depegged,depegging,depegged
profundify,profundifies,profundified,profundifying,profundified
degroup,degroups,degrouped,degrouping,degrouped
smeb,smebs,smebbed,smebbing,smebbed
deek,deeks,deeked,deekin,deeked
outburp,outburps,outburped,outburping,outburped
tot,tots,totted,totting,totted
mugwump,mugwumps,mugwumped,mugwumping,mugwumped
overbear,overbears,overbore,overbearing,overborne
rasp,rasps,rasped,rasping,rasped
impasto,impastoes,impastoed,impastoing,impastoed
bend,bends,bent,bending,bent
outhaughty,outhaughties,outhaughtied,outhaughtying,outhaughtied
hashtagify,hashtagifies,hashtagified,hashtagifying,hashtagified
brig,brigs,brigged,brigging,brigged
arize,arizes,aroze,arizing,arizen
forburn,forburns,forburnt,forburning,forburnt
rebreach,rebreaches,rebreached,rebreaching,rebreached
distinctify,distinctifies,distinctified,distinctifying,distinctified
unban,unbans,unbanned,unbanning,unbanned
kebab,kebabs,kebabbed,kebabbing,kebabbed
braunch,braunches,braunched,braunching,braunched
outsling,outslings,outslung,outslinging,outslung
quahog,quahogs,quahogged,quahogging,quahogged
misthrow,misthrows,misthrew,misthrowing,misthrown
dorkify,dorkifies,dorkified,dorkifying,dorkified
pay,pays,paid,paying,paid
religify,religifies,religified,religifying,religified
regrind,regrinds,reground,regrinding,reground
headcarry,headcarries,headcarried,headcarrying,headcarried
kipsy,kipsies,kipsied,kipsying,kipsied
overmatch,overmatches,overmatched,overmatching,overmatched
outseg,outsegs,outsegged,outsegging,outsegged
ramify,ramifies,ramified,ramifying,ramified
backtag,backtags,backtagged,backtagging,backtagged
unglue,unglues,unglued,unglueing,unglued
buddy,buddies,buddied,buddying,buddied
inknot,inknots,inknotted,inknotting,inknotted
recoup,recoups,recouped,recouping,recouped
skiplag,skiplags,skiplagged,skiplagging,skiplagged
overstir,overstirs,overstirred,overstirring,overstirred
retally,retallies,retallied,retallying,retallied
mismean,mismeans,mismeant,mismeaning,mismeant
counterplot,counterplots,counterplotted,counterplotting,counterplotted
depech,depeches,depeched,depeching,depeched
youthify,youthifies,youthified,youthifying,youthified
scun,scuns,scunned,scunning,scunned
penny,pennies,pennied,pennying,pennied
bingewatch,bingewatches,bingewatched,bingewatching,bingewatched
retrig,retrigs,retrigged,retrigging,retrigged
tawny,tawnies,tawnied,tawnying,tawnied
bloody,bloodies,bloodied,bloodying,bloodied
secretary,secretaries,secretaried,secretarying,secretaried
dismarch,dismarches,dismarched,dismarching,dismarched
reclench,reclenches,reclenched,reclenching,reclenched
steelify,steelifies,steelified,steelifying,steelified
dreep,dreeps,dreeped,dreeping,dreeped
trilerp,trilerps,trilerped,trilerping,trilerped
knab,knabs,knabbed,knabbing,knabbed
caucus,caucusses,caucussed,caucussing,caucussed
unwoman,unwomans,unwomanned,unwomanning,unwomanned
outspend,outspends,outspent,outspending,outspent
overcertify,overcertifies,overcertified,overcertifying,overcertified
gentrify,gentrifies,gentrified,gentrifying,gentrified
mindread,mindreads,mindread,mindreading,mindread
dit,dits,ditted,ditting,ditted
undam,undams,undammed,undamming,undammed
consignify,consignifies,consignified,consignifying,consignified
outgrin,outgrins,outgrinned,outgrinning,outgrinned
inbreed,inbreeds,inbred,inbreeding,inbred
brevet,brevets,brevetted,brevetting,brevetted
rev,revs,revved,revving,revved
spy,spies,spied,spying,spied
dickride,dickrides,dickrode,dickriding,dickridden
sob,sobs,sobbed,sobbing,sobbed
misken,miskens,miskent,miskenning,miskent
surveil,surveils,surveilled,surveilling,surveilled
armbar,armbars,armbarred,armbarring,armbarred
incoop,incoops,incooped,incooping,incooped
ladify,ladifies,ladified,ladifying,ladified
undo,undoes,undid,undoing,undone
slurry,slurries,slurried,slurrying,slurried
outcry,outcries,outcried,outcrying,outcried
ornify,ornifies,ornified,ornifying,ornified
nim,nims,nom,nimming,num
impalsy,impalsies,impalsied,impalsying,impalsied
unlay,unlays,unlaid,unlaying,unlaid
charcoalify,charcoalifies,charcoalified,charcoalifying,charcoalified
tonify,tonifies,tonified,tonifying,tonified
reccy,reccies,reccied,reccying,reccied
forbite,forbites,forbit,forbiting,forbitten
requery,requeries,requeried,requerying,requeried
overbrim,overbrims,overbrimmed,overbrimming,overbrimmed
scrag,scrags,scragged,scragging,scragged
bit,bits,bitted,bitting,bitted
acknowledg,acknowledges,acknowledged,acknowledging,acknowledged
reny,renies,renied,renying,renied
outbreak,outbreaks,outbroke,outbreaking,outbroken
jogtrot,jogtrots,jogtrotted,jogtrotting,jogtrotted
reburst,rebursts,reburst,rebursting,reburst
unfeel,unfeels,unfelt,unfeeling,unfelt
podcast,podcasts,podcast,podcasting,podcast
undirty,undirties,undirtied,undirtying,undirtied
stretch,stretches,stretched,stretching,stretched
deramp,deramps,deramped,deramping,deramped
calefie,calefies,calefied,calefying,calefied
strikethrough,strikethroughs,struckthrough,strikethroughing,struckthrough
jar,jars,jarred,jarring,jarred
stem,stems,stemmed,stemming,stemmed
repatrol,repatrols,repatrolled,repatrolling,repatrolled
requit,requits,requitted,requitting,requitted
skurry,skurries,skurried,skurrying,skurried
hotplug,hotplugs,hotplugged,hotplugging,hotplugged
bonafy,bonafies,bonafied,bonafying,bonafied
overamplify,overamplifies,overamplified,overamplifying,overamplified
disworship,disworships,disworshiped,disworshiping,disworshiped
resod,resods,resodded,resodding,resodded
planogram,planograms,planogrammed,planogramming,planogrammed
excerp,excerps,excerped,excerping,excerped
thig,thigs,thigged,thigging,thigged
mum,mums,mummed,mumming,mummed
retromod,retromods,retromodded,retromodding,retromodded
glom,gloms,glommed,glomming,glommed
lit,lits,litted,litting,litted
misroute,misroutes,misrouted,misrouteing,misrouted
unstan,unstans,unstanned,unstanning,unstanned
transmogrify,transmogrifies,transmogrified,transmogrifying,transmogrified
help,helps,helped,helping,helped
resplit,resplits,resplit,resplitting,resplit
zoukify,zoukifies,zoukified,zoukifying,zoukified
postmultiply,postmultiplies,postmultiplied,postmultiplying,postmultiplied
outflee,outflees,outfled,outfleeing,outfled
springe,springes,springed,springeing,springed
detrumpify,detrumpifies,detrumpified,detrumpifying,detrumpified
quitch,quitches,quitched,quitching,quitched
outspy,outspies,outspied,outspying,outspied
rehumidify,rehumidifies,rehumidified,rehumidifying,rehumidified
blike,blikes,bloke,bliking,blicken
betwynde,betwyndes,betwound,betwynding,betwound
screwdrive,screwdrives,screwdrove,screwdriving,screwdriven
retie,reties,retied,retying,retied
pillory,pillories,pilloried,pillorying,pilloried
decodify,decodifies,decodified,decodifying,decodified
misspread,misspreads,misspread,misspreading,misspread
shadowban,shadowbans,shadowbanned,shadowbanning,shadowbanned
vary,varies,varied,varying,varied
mixmatch,mixmatches,mixmatched,mixmatching,mixmatched
corvet,corvets,corvetted,corvetting,corvetted
vac,vacs,vacked,vacking,vacked
fulldo,fulldoes,fulldid,fulldoing,fulldone
rebegin,rebegins,rebegan,rebeginning,rebegun
desubjectify,desubjectifies,desubjectified,desubjectifying,desubjectified
silicify,silicifies,silicified,silicifying,silicified
withsit,withsits,withsat,withsitting,withsitten
hump,humps,humped,humping,humped
gimlet,gimlets,gimletted,gimletting,gimletted
forgab,forgabs,forgabbed,forgabbing,forgabbed
defy,defies,defied,defying,defied
dom,doms,dommed,domming,dommed
blob,blobs,blobbed,blobbing,blobbed
demagnify,demagnifies,demagnified,demagnifying,demagnified
canary,canaries,canaried,canarying,canaried
disvouch,disvouches,disvouched,disvouching,disvouched
screenshoot,screenshoots,screenshot,screenshooting,screenshot
shrub,shrubs,shrubbed,shrubbing,shrubbed
scutch,scutches,scutched,scutching,scutched
outgive,outgives,outgave,outgiving,outgiven
meet,meets,met,meeting,met
fandub,fandubs,fandubbed,fandubbing,fandubbed
convel,convels,convelled,convelling,convelled
forereach,forereaches,forereached,forereaching,forereached
darf,darf,darved,darving,darfed
forspan,forspans,forspanned,forspanning,forspanned
unwrench,unwrenches,unwrenched,unwrenching,unwrenched
twin,twins,twinned,twinning,twinned
enqueue,enqueues,enqueued,enqueueing,enqueued
outpitch,outpitches,outpitched,outpitching,outpitched
reskim,reskims,reskimmed,reskimming,reskimmed
jitterbug,jitterbugs,jitterbugged,jitterbugging,jitterbugged
renovel,renovels,renovelled,renovelling,renovelled
autofit,autofits,autofitted,autofitting,autofitted
outwar,outwars,outwarred,outwarring,outwarred
onset,onsets,onset,onsetting,onset
gypsy,gypsies,gypsied,gypsying,gypsied
misspin,misspins,misspun,misspinning,misspun
saucepan,saucepans,saucepanned,saucepanning,saucepanned
thee,thees,theed,theeing,theed
dollop,dollops,dolloped,dolloping,dolloped
whee,whees,wheed,wheeing,wheed
upset,upsets,upset,upsetting,upset
dequench,dequenches,dequenched,dequenching,dequenched
cobuild,cobuilds,cobuilt,cobuilding,cobuilt
brust,brusts,brust,brusting,brust
outstat,outstats,outstatted,outstatting,outstatted
driue,driues,droue,driuing,driuen
bam,bams,bammed,bamming,bammed
pettyfog,pettyfogs,pettyfogged,pettyfogging,pettyfogged
autowind,autowinds,autowound,autowinding,autowound
flit,flits,flitted,flitting,flitted
pub,pubs,pubbed,pubbing,pubbed
remow,remows,remowed,remowing,remown
disally,disallies,disallied,disallying,disallied
dequeue,dequeues,dequeued,dequeueing,dequeued
undrink,undrinks,undrank,undrinking,undrunk
havoc,havocs,havocked,havocking,havocked
replat,replats,replatted,replatting,replatted
sportify,sportifies,sportified,sportifying,sportified
immunify,immunifies,immunified,immunifying,immunified
approach,approaches,approached,approaching,approached
testilie,testilies,testilied,testilying,testilied
outcon,outcons,outconned,outconning,outconned
junket,junkets,junketted,junketting,junketted
politic,politics,politicked,politicking,politicked
ret,rets,retted,retting,retted
repin,repins,repinned,repinning,repinned
negrify,negrifies,negrified,negrifying,negrified
potshot,potshots,potshotted,potshotting,potshotted
zionify,zionifies,zionified,zionifying,zionified
stubify,stubifies,stubified,stubifying,stubified
misspeak,misspeaks,misspoke,misspeaking,misspoken
occur,occurs,occurred,occurring,occurred
retin,retins,retinned,retinning,retinned
misspeed,misspeeds,missped,misspeeding,missped
hyperacidify,hyperacidifies,hyperacidified,hyperacidifying,hyperacidified
become,becomes,became,becoming,become
lug,lugs,lugged,lugging,lugged
shite,shites,shat,shiting,shitten
thrump,thrumps,thrumped,thrumping,thrumped
reslot,reslots,reslotted,reslotting,reslotted
aye,ayes,ayed,ayeing,ayed
focus,focusses,focussed,focussing,focussed
shanghae,shanghaes,shanghaed,shanghaeing,shanghaed
delie,delies,delied,delying,delied
shall,shall,should,shalling,shalled
unbog,unbogs,unbogged,unbogging,unbogged
outbully,outbullies,outbullied,outbullying,outbullied
instagib,instagibs,instagibbed,instagibbing,instagibbed
overgrow,overgrows,overgrew,overgrowing,overgrown
undermodify,undermodifies,undermodified,undermodifying,undermodified
initial,initials,initialled,initialling,initialled
untread,untreads,untrod,untreading,untrod
reoutfit,reoutfits,reoutfitted,reoutfitting,reoutfitted
benegro,benegroes,benegroed,benegroing,benegroed
correctify,correctifies,correctified,correctifying,correctified
goalkeep,goalkeeps,goalkept,goalkeeping,goalkept
bid,bids,bid,bidding,bid
vanillafy,vanillafies,vanillafied,vanillafying,vanillafied
parcel,parcels,parcelled,parcelling,parcelled
automodify,automodifies,automodified,automodifying,automodified
bodyslam,bodyslams,bodyslammed,bodyslamming,bodyslammed
genrefy,genrefies,genrefied,genrefying,genrefied
calefy,calefies,calefied,calefying,calefied
undergrub,undergrubs,undergrubbed,undergrubbing,undergrubbed
intake,intakes,intook,intaking,intaken
pannel,pannels,pannelled,pannelling,pannelled
nanny,nannies,nannied,nannying,nannied
backgrind,backgrinds,background,backgrinding,background
ref,refs,reffed,reffing,reffed
microtrepan,microtrepans,microtrepanned,microtrepanning,microtrepanned
spew,spews,spewed,spewing,spewn
respot,respots,respotted,respotting,respotted
steddy,steddies,steddied,steddying,steddied
arefy,arefies,arefied,arefying,arefied
overlead,overleads,overled,overleading,overled
um,ums,ummed,umming,ummed
rechisel,rechisels,rechiselled,rechiselling,rechiselled
underplan,underplans,underplanned,underplanning,underplanned
glutch,glutches,glutched,glutching,glutched
fully,fullies,fullied,fullying,fullied
overbleed,overbleeds,overbled,overbleeding,overbled
comp,comps,comped,comping,comped
skype,skypes,skyped,skypeing,skyped
cuntify,cuntifies,cuntified,cuntifying,cuntified
torch,torches,torched,torching,torched
foreskin,foreskins,foreskinned,foreskinning,foreskinned
demystify,demystifies,demystified,demystifying,demystified
poz,pozzes,pozzed,pozzing,pozzed
sprug,sprugs,sprugged,sprugging,sprugged
query,queries,queried,querying,queried
envie,envies,envied,envying,envied
hacksaw,hacksaws,hacksawed,hacksawing,hacksawn
overgild,overgilds,overgilt,overgilding,overgilt
unty,untyes,untyed,untying,untyed
warry,warries,warried,warrying,warried
underset,undersets,underset,undersetting,underset
reexpel,reexpels,reexpelled,reexpelling,reexpelled
chud,chuds,chudded,chudding,chudded
unbarrel,unbarrels,unbarrelled,unbarrelling,unbarrelled
beblur,beblurs,beblurred,beblurring,beblurred
underbring,underbrings,underbrought,underbringing,underbrought
undergird,undergirds,undergirt,undergirding,undergirt
chorus,choruses,chorussed,chorussing,chorussed
misplug,misplugs,misplugged,misplugging,misplugged
jewelry,jewelries,jewelried,jewelrying,jewelried
substantify,substantifies,substantified,substantifying,substantified
torify,torifies,torified,torifying,torified
chirrup,chirrups,chirruped,chirruping,chirruped
unlevel,unlevels,unlevelled,unlevelling,unlevelled
outbring,outbrings,outbrought,outbringing,outbrought
facet,facets,facetted,facetting,facetted
bitch,bitches,bitched,bitching,bitched
ultrasimplify,ultrasimplifies,ultrasimplified,ultrasimplifying,ultrasimplified
rebin,rebins,rebinned,rebinning,rebinned
spoonfeed,spoonfeeds,spoonfed,spoonfeeding,spoonfed
misinfer,misinfers,misinferred,misinferring,misinferred
discomfit,discomfits,discomfitted,discomfitting,discomfitted
typeset,typesets,typeset,typesetting,typeset
microteach,microteaches,microtaught,microteaching,microtaught
downcut,downcuts,downcut,downcutting,downcut
tit,tits,titted,titting,titted
overworship,overworships,overworshiped,overworshiping,overworshiped
pledget,pledgets,pledgetted,pledgetting,pledgetted
misfeed,misfeeds,misfed,misfeeding,misfed
decrab,decrabs,decrabbed,decrabbing,decrabbed
gamify,gamifies,gamified,gamifying,gamified
backbend,backbends,backbent,backbending,backbent
onhold,onholds,onheld,onholding,onholden
versify,versifies,versified,versifying,versified
sug,sugs,sugged,sugging,sugged
interknot,interknots,interknotted,interknotting,interknotted
miscodify,miscodifies,miscodified,miscodifying,miscodified
cofeed,cofeeds,cofed,cofeeding,cofed
pansy,pansies,pansied,pansying,pansied
blech,bleches,bleched,bleching,bleched
stupify,stupifies,stupified,stupifying,stupified
blive,blives,blove,bliving,bliven
biotag,biotags,biotagged,biotagging,biotagged
unpreach,unpreaches,unpreached,unpreaching,unpreached
upmake,upmakes,upmade,upmaking,upmade
unshit,unshits,unshat,unshitting,unshat
slub,slubs,slubbed,slubbing,slubbed
route,routes,routed,routeing,routed
shanty,shanties,shantied,shantying,shantied
centre,centres,centred,centreing,centred
stand,stands,stood,standing,stood
limetwig,limetwigs,limetwigged,limetwigging,limetwigged
mixe,mixes,mixt,mixing,mixt
fistfight,fistfights,fistfought,fistfighting,fistfought
pwn,pwns,pwnt,pwning,pwnt
magic,magics,magicked,magicking,magicked
destim,destims,destimmed,destimming,destimmed
zzz,zzzs,zzzed,zzzing,zzzed
testify,testifies,testified,testifying,testified
repurify,repurifies,repurified,repurifying,repurified
revamp,revamps,revamped,revamping,revamped
beswink,beswinks,beswank,beswinking,beswunken
shet,shets,shetted,shetting,shet
outstink,outstinks,outstank,outstinking,outstunk
demulsify,demulsifies,demulsified,demulsifying,demulsified
misunderstand,misunderstands,misunderstood,misunderstanding,misunderstood
astun,astuns,astunned,astunning,astunned
outcrazy,outcrazies,outcrazied,outcrazying,outcrazied
prequalify,prequalifies,prequalified,prequalifying,prequalified
misforgive,misforgives,misforgave,misforgiving,misforgiven
mismeet,mismeets,mismet,mismeeting,mismet
categorify,categorifies,categorified,categorifying,categorified
dandify,dandifies,dandified,dandifying,dandified
sinify,sinifies,sinified,sinifying,sinified
whoomp,whoomps,whoomped,whoomping,whoomped
