maxima2,maximae
targum,targumim
targum2,targums
metaseries,metaseries
modello2,modelli
shammes2,shammosim
flowoff,flowoffs
athenarian2,athenaria
shan2,shan
choka,choka
clinamen2,clinamina
wazz,wazzes
pelma,pelmata
gakuran,gakuran
drayperson2,draypeople
typhlocolitis,typhlocolitides
calvarium2,calvariums
railworks,railworks
femina2,femina
anticommons,anticommons
versaillais,versaillais
jez,jezes
yueqin2,yueqin
hippopotamus2,hippopotami
hippopotamus3,hippopotamus
sparaxis,sparaxises
staffperson,staffpeople
hwan2,hwan
cascado2,cascadoes
atomy2,atomy
spvs2,spvss
springbok2,springbok
treefish2,treefishes
coteau2,coteaus
condemned,condemned
spectaculum,spectaculums
canarsie2,canarsie
hyena2,hyena
hyena3,hyenae
amphoriskos,amphoriskoi
simulacrum2,simulacrums
pistachio2,pistachioes
dms,dmss
shotai,shotai
risorius,risorii
xoff,xoffs
abatis2,abatis
megahertz,megahertz
megahertz2,megahertzes
roadful2,roadsful
echophenomenon,echophenomena
thebe2,thebe
scad2,scad
parallelohedron2,parallelohedra
perai2,perai
uyezd2,uyezdy
onus2,onera
cyberperson2,cyberpeople
bregma2,bregmata
senussi2,senussi
rhum,rhums
kudu2,kudu
magnafacies,magnafacies
juryo2,juryo
hechsher2,hechsherim
dur2,dur
duff,duffs
pronoia2,pronoiae
pronoia3,pronoiai
tramman,trammans
gazelle2,gazelle
spherula,spherulae
yana2,yana
zakouska2,zakouski
lithospermum,lithospermums
lasso2,lassoes
nalysnyky,nalysnyky
periplous2,periploi
ply2,ply
ply3,plys
counterlife,counterlives
preecho2,preechoes
africo2,africoes
bleak2,bleak
neothalamus,neothalami
gomai,gomai
reffo2,reffoes
monohedron2,monohedra
poeticks,poeticks
pyrosome2,pyrosoma
sharktopus2,sharktopi
chateau2,chateaus
masala2,masale
mamudi2,mamudi
microvortex,microvortices
demicannon2,demicannon
hamentash,hamentashen
staretz,staretzes
cricoarytenoideus,cricoarytenoidei
sapvs2,sapvss
leiomyosarcoma2,leiomyosarcomata
kyathos,kyathoi
otter2,otter
rhizina,rhizinae
hemelytron,hemelytra
smokey2,smokies
alpaca2,alpaca
aegagrus,aegagri
lygodium,lygodiums
innuendo2,innuendis
innuendo3,innuendoes
capitano2,capitani
capitano3,capitanoes
mitsumata,mitsumata
liferentrix,liferentrixes
tyrannosaurus2,tyrannosauri
diagnostics,diagnostics
nayar2,nayar
superman2,supermans
qtpoc2,qtpoc
chiliarch,chiliarchs
serositis,serosites
piyyut2,piyyutim
pos2,poss
subatrium2,subatriums
squamella2,squamellae
