positive,comparative,superlative
downy,downier,downiest
zeitgeisty,zeitgeistier,zeitgeistiest
sploshy,sploshier,sploshiest
seamy,seamier,seamiest
jetty,jettier,jettiest
game2,gamer,gamest
plumpy,plumpier,plumpiest
fiery,fierier,fieriest
absolute,absoluter,absolutest
bleachy,bleachier,bleachiest
awnry,awnrier,awnriest
yelpy,yelpier,yelpiest
jerky,jerkier,jerkiest
ail,ailer,ailest
unsubtle,unsubtler,unsubtlest
tough,tougher,toughest
truthy,truthier,truthiest
buzzy,buzzier,buzziest
trite,triter,tritest
quiet,quieter,quietest
vast,vaster,vastest
oaty,oatier,oatiest
plantly,plantlier,plantliest
deathly,deathlier,deathliest
clumsy,clumsier,clumsiest
high,higher,highest
yellow,yellower,yellowest
chocolatey,chocolatier,chocolatiest
smirky,smirkier,smirkiest
canty,cantier,cantiest
drudgy,drudgier,drudgiest
guilty,guiltier,guiltiest
wiggly,wigglier,wiggliest
verie,verier,veriest
pricy,pricier,priciest
chocolaty,chocolatier,chocolatiest
mussolini,mussolinier,mussoliniest
quare,quarer,quarest
swarmy,swarmier,swarmiest
yecchy,yecchier,yecchiest
stary,starier,stariest
praiseworthy,praiseworthier,praiseworthiest
churchy,churchier,churchiest
frisky,friskier,friskiest
rightern,more rightern,righternmost
raspy,raspier,raspiest
sincere,sincerer,sincerest
clayey,clayier,clayiest
bould,boulder,bouldest
hairy,hairier,hairiest
wordy,wordier,wordiest
hearty,heartier,heartiest
croaky,croakier,croakiest
cherty,chertier,chertiest
sordid,sordider,sordidest
spick,spicker,spickest
hunky,hunkier,hunkiest
yeasty,yeastier,yeastiest
smoggy,smoggier,smoggiest
priestly2,priestlier,priestliest
bum,bummer,bummest
groty,grotier,grotiest
gummy,gummier,gummiest
sneery,sneerier,sneeriest
sparkly,sparklier,sparkliest
bird,birdier,birdiest
crufty,cruftier,cruftiest
jungly,junglier,jungliest
hungry,hungrier,hungriest
lief,liefer,liefest
pure,purer,purest
arrant,arranter,arrantest
jaggy,jaggier,jaggiest
sable,sabler,sablest
squammy,squammier,squammiest
lippy,lippier,lippiest
twinkly,twinklier,twinkliest
shitty,shittier,shittiest
breathy,breathier,breathiest
gainly,gainlier,gainliest
henny,hennier,henniest
jargony,jargonier,jargoniest
hory,horier,horiest
faulty,faultier,faultiest
logy,logier,logiest
eeby,eebier,eebiest
squirrelly,squirrellier,squirrelliest
louche,loucher,louchest
orange2,oranger,orangest
smooth,smoother,smoothest
bolshie,bolshier,bolshiest
chinchy,chinchier,chinchiest
spare,sparer,sparest
shirty,shirtier,shirtiest
feat,feater,featest
thrilly,thrillier,thrilliest
curt,curter,curtest
snuffy,snuffier,snuffiest
fair,fairer,fairest
lax,laxer,laxest
bossy2,bossier,bossiest
squeaky,squeakier,squeakiest
milchy,milchier,milchiest
crawly,crawlier,crawliest
barmy,barmier,barmiest
queerbaity,queerbaitier,queerbaitiest
earthy,earthier,earthiest
unmad,unmadder,unmaddest
bookly,booklier,bookliest
blabby,blabbier,blabbiest
fluey2,fluier,fluiest
stilty,stiltier,stiltiest
hugy,hugier,hugiest
gruffy,gruffier,gruffiest
gentlemanly,gentlemanlier,gentlemanliest
cuddly,cuddlier,cuddliest
flowery,flowerier,floweriest
puky,pukier,pukiest
cheaty,cheatier,cheatiest
viby,vibier,vibiest
minute,minuter,minutest
shrinky,shrinkier,shrinkiest
luxe,luxier,luxest
polite,politer,politest
scowly,scowlier,scowliest
hot2,hotter,hottest
untidy,untidier,untidiest
beepy,beepier,beepiest
syrupy,syrupier,syrupiest
squshy,squshier,squshiest
hokie,hokier,hokiest
grassy,grassier,grassiest
shy,shier,shiest
girthy,girthier,girthiest
wonderful,wonderfuller,wonderfullest
uptight,uptighter,uptightest
cagey,cagier,cagiest
terse,terser,tersest
grouty2,groutier,groutiest
trappy,trappier,trappiest
sexy2,sexier,sexiest
crotchety,crotchetier,crotchetiest
toney,tonier,toniest
blow,blower,blowest
widespread,widerspread,widestspread
horsy,horsier,horsiest
dour,dourer,dourest
dressy,dressier,dressiest
cutesie,cutesier,cutesiest
eely,eelier,eeliest
scarry,scarrier,scarriest
skeely,skeelier,skeeliest
cooool,cooooler,coooolest
cross,crosser,crossest
wood,wooder,woodest
sketchy,sketchier,sketchiest
starchy,starchier,starchiest
fleet,fleeter,fleetest
dwarf,dwarfer,dwarfest
hippie,hippier,hippiest
roupy,roupier,roupiest
wick,wicker,wickest
unfit,unfitter,unfittest
horsey,horsier,horsiest
ready,readier,readiest
spazzy,spazzier,spazziest
tweety,tweetier,tweetiest
rascally,rascallier,rascalliest
auntly,auntlier,auntliest
cranky,crankier,crankiest
hogwartsy,hogwartsier,hogwartsiest
wussy,wussier,wussiest
pitch,pitcher,pitchest
pearly,pearlier,pearliest
thoughty,thoughtier,thoughtiest
stompy,stompier,stompiest
mucky,muckier,muckiest
peng2,penger,pengest
gassy,gassier,gassiest
antly,antlier,antliest
sleeky,sleekier,sleekiest
sinny,sinnier,sinniest
foolhardy,foolhardier,foolhardiest
inner,innermore,innermost
moisty,moistier,moistiest
cliquy,cliquier,cliquiest
morose,moroser,morosest
campy,campier,campiest
runny,runnier,runniest
hedgy,hedgier,hedgiest
slutty,sluttier,sluttiest
springy,springier,springiest
staid,staider,staidest
drabby,drabbier,drabbiest
zingy,zingier,zingiest
lown,lowner,lownest
ambitious,ambitiouser,ambitiousest
scruffy,scruffier,scruffiest
crisp,crisper,crispest
