positive,comparative,superlative
runty,runtier,runtiest
limby,limbier,limbiest
porky,porkier,porkiest
gouty,goutier,goutiest
baby,babier,babiest
jimp,jimper,jimpest
mardy,mardier,mardiest
unclean,uncleaner,uncleanest
amusing,amusinger,amusingest
forblack,forblacker,forblackest
kludgy,kludgier,kludgiest
couthie,couthier,couthiest
dangly,danglier,dangliest
freely,freelier,freeliest
wonky,wonkier,wonkiest
slappy,slappier,slappiest
chummy,chummier,chummiest
waffly,wafflier,waffliest
houndy,houndier,houndiest
false2,falser,falsest
gnatty,gnattier,gnattiest
needly,needlier,needliest
scraggly,scragglier,scraggliest
ranty2,rantier,rantiest
numb,number,numbest
concrete,concreter,concretest
straggly,stragglier,straggliest
important,importanter,importantest
dicey,dicier,diciest
loath,loather,loathest
dumpty,dumptier,dumptiest
cruel,crueler,cruelest
slobby,slobbier,slobbiest
scatty2,scattier,scattiest
palmy,palmier,palmiest
subtile,subtiler,subtilest
freash,freasher,freashest
fremd,fremder,fremdest
stroppy,stroppier,stroppiest
smoothy,smoothier,smoothiest
bait,baiter,baitest
yong,yonger,yongest
frigid,frigider,frigidest
lying,lyinger,lyingest
whott,whotter,whottest
pale,paler,palest
queezy,queezier,queeziest
scraggy,scraggier,scraggiest
drawly,drawlier,drawliest
slouchy,slouchier,slouchiest
rowdy,rowdier,rowdiest
shank,shanker,shankest
well,better,best
mod2,modder,moddest
rheumy,rheumier,rheumiest
blotty,blottier,blottiest
kludgey,kludgier,kludgiest
sprightlie,sprightlier,sprightliest
whimpy,whimpier,whimpiest
towzy,towzier,towziest
typy,typier,typiest
ok2,oker,okest
treey,treeier,treeiest
gimmicky,gimmickier,gimmickiest
bolshy,bolshier,bolshiest
straight,straighter,straightest
ferny,fernier,ferniest
scuzzy,scuzzier,scuzziest
skinny,skinnier,skinniest
stringy,stringier,stringiest
smidgey,smidgier,smidgiest
unwide,unwider,unwidest
raggy2,raggier,raggiest
groovy,groovier,grooviest
sensible,more sensible,sensiblest
trampy,trampier,trampiest
tine,tiner,tinest
skinchy,skinchier,skinchiest
grill,griller,grillest
slumpy,slumpier,slumpiest
eazy,eazier,eaziest
jaunty,jauntier,jauntiest
leafy,leafier,leafiest
very,verier,veriest
avid,avider,avidest
blouzy,blouzier,blouziest
tosh,tosher,toshest
grumpy,grumpier,grumpiest
bony,bonier,boniest
goony,goonier,gooniest
dandy,dandier,dandiest
dreggy,dreggier,dreggiest
cakey,cakier,cakiest
touchy,touchier,touchiest
untrustworthy,untrustworthier,untrustworthiest
corny2,cornier,corniest
faggy,faggier,faggiest
pacy,pacier,paciest
flocky,flockier,flockiest
thirsty,thirstier,thirstiest
merry,merrier,merriest
gory,gorier,goriest
soon,sooner,soonest
sticky,stickier,stickiest
pleasant,pleasanter,pleasantest
drafty,draftier,draftiest
blippy,blippier,blippiest
sleety,sleetier,sleetiest
discrete2,discreter,discretest
glowy,glowier,glowiest
prowd,prowder,prowdest
sprauncy,sprauncier,spraunciest
doggone,more doggone,doggonest
whitey,whitier,whitiest
heppen,heppener,heppenest
loamy,loamier,loamiest
crummy,crummier,crummiest
giggly,gigglier,giggliest
torchy,torchier,torchiest
horry,horrier,horriest
dopey,dopier,dopiest
gnashy,gnashier,gnashiest
plentiful,plentifuller,plentifullest
shrill,shriller,shrillest
bready,breadier,breadiest
scribbly,scribblier,scribbliest
queefy,queefier,queefiest
pubby,pubbier,pubbiest
clear,clearer,clearest
backstabby,backstabbier,backstabbiest
sooth,soother,soothest
lossy,lossier,lossiest
antient,antienter,antientest
chalky,chalkier,chalkiest
preachy,preachier,preachiest
cleer,cleerer,cleerest
grainy,grainier,grainiest
hooky,hookier,hookiest
scabby,scabbier,scabbiest
mousy,mousier,mousiest
testy,testier,testiest
painty,paintier,paintiest
gentle,gentler,gentlest
ruffly,rufflier,ruffliest
stodgy,stodgier,stodgiest
poncy,poncier,ponciest
hayey,hayier,hayiest
nesh,nesher,neshest
gradely,gradelier,gradeliest
fickle,fickler,ficklest
nutsy,nutsier,nutsiest
pooey,pooier,pooiest
reef,reefer,reefest
zazzy,zazzier,zazziest
sagy,sagier,sagiest
mournful,mournfuller,mournfullest
swole,swoler,swolest
boosy,boosier,boosiest
flobby,flobbier,flobbiest
randy,randier,randiest
bloomly,bloomlier,bloomliest
flush,flusher,flushest
tangly,tanglier,tangliest
uncomely,uncomelier,uncomeliest
dead,deader,deadest
bouncy,bouncier,bounciest
frowzy,frowzier,frowziest
squalid,squalider,squalidest
simpy,simpier,simpiest
shreddy,shreddier,shreddiest
grungy,grungier,grungiest
woodsy,woodsier,woodsiest
fancy,fancier,fanciest
ghostly,ghostlier,ghostliest
memey,memier,memiest
tinfoily,tinfoilier,tinfoiliest
tort2,torter,tortest
fluffy,fluffier,fluffiest
abject,abjecter,abjectest
deaf2,deafer,deafest
toothly,toothlier,toothliest
mere,merer,merest
hulky,hulkier,hulkiest
jolly,jollier,jolliest
petty,pettier,pettiest
crappy,crappier,crappiest
netty,nettier,nettiest
flitty,flittier,flittiest
neapy,neapier,neapiest
ripply,ripplier,rippliest
braggy,braggier,braggiest
mity,mitier,mitiest
clashy,clashier,clashiest
spritely,spritelier,spriteliest
full,fuller,fullest
shlocky,shlockier,shlockiest
queeny,queenier,queeniest
pleasaunt,pleasaunter,pleasauntest
spindly,spindlier,spindliest
frilly,frillier,frilliest
poddy,poddier,poddiest
hazy,hazier,haziest
crunchy,crunchier,crunchiest
sedate,sedater,sedatest
unhandsome,unhandsomer,unhandsomest
grundy,grundier,grundiest
oomphy,oomphier,oomphiest
surly,surlier,surliest
bursty,burstier,burstiest
wack,wacker,wackest
fayre,fayrer,fayrest
floaty,floatier,floatiest
brack,bracker,brackest
arsy,arsier,arsiest
brassy,brassier,brassiest
shouty,shoutier,shoutiest
dorky,dorkier,dorkiest
shrewd,shrewder,shrewdest
itchy,itchier,itchiest
scrungly,scrunglier,scrungliest
seely,seelier,seeliest
unfair,unfairer,unfairest
arid,arider,aridest
adulty,adultier,adultiest
pretty,prettier,prettiest
teenty,teentier,teentiest
beamy,beamier,beamiest
slopy,slopier,slopiest
janky,jankier,jankiest
natty2,nattier,nattiest
plonky,plonkier,plonkiest
strengthy,strengthier,strengthiest
frail,frailer,frailest
eery,eerier,eeriest
lordly,lordlier,lordliest
spumy,spumier,spumiest
brag,bragger,braggest
bleach,bleacher,bleachest
unripe,unriper,unripest
glittery,glitterier,glitteriest
wry,wrier,wriest
beany,beanier,beaniest
beady,beadier,beadiest
tasky,taskier,taskiest
stronk,stronker,stronkest
skint,skinter,skintest
candid,candider,candidest
mathy,mathier,mathiest
waggy,waggier,waggiest
cheffy,cheffier,cheffiest
woke,woker,wokest
nouny,nounier,nouniest
awesome,awesomer,awesomest
sniffly,snifflier,sniffliest
fresh,fresher,freshest
choosy,choosier,choosiest
seepy,seepier,seepiest
white2,whiter,whitest
thither,more thither,thithermost
gusty,gustier,gustiest
grouse,grouser,grousest
creamy,creamier,creamiest
lacy,lacier,laciest
svelte,svelter,sveltest
grizzly,grizzlier,grizzliest
bussy2,bussier,bussiest
tranty,trantier,trantiest
stony,stonier,stoniest
squiggley,squigglier,squiggliest
dimply,dimplier,dimpliest
rhymey,rhymier,rhymiest
scared,scareder,scaredest
musky,muskier,muskiest
slobbery,slobberier,slobberiest
trembly,tremblier,trembliest
kene,kener,kenest
stocky,stockier,stockiest
phlegmy,phlegmier,phlegmiest
streamy,streamier,streamiest
lardy,lardier,lardiest
bitchin,more bitchin,bitchinest
sainty,saintier,saintiest
snippy,snippier,snippiest
clangy,clangier,clangiest
noteworthy,noteworthier,noteworthiest
thrifty,thriftier,thriftiest
abstruse,abstruser,abstrusest
fudgy,fudgier,fudgiest
demure,demurer,demurest
drizzly,drizzlier,drizzliest
nippley,nipplier,nippliest
unsure,unsurer,unsurest
peart,pearter,peartest
shaggy,shaggier,shaggiest
wenchy,wenchier,wenchiest
unsafe,unsafer,unsafest
deluxe,deluxer,deluxest
squinchy,squinchier,squinchiest
secure,securer,securest
silky,silkier,silkiest
puffy,puffier,puffiest
gruesome,gruesomer,gruesomest
still,stiller,stillest
moppy,moppier,moppiest
vampy,vampier,vampiest
cockey,cockier,cockiest
fubsy,fubsier,fubsiest
suave,suaver,suavest
clubby,clubbier,clubbiest
right,righter,rightmost
wan,wanner,wannest
cheery,cheerier,cheeriest
weak,weaker,weakest
castworthy,castworthier,castworthiest
baggy,baggier,baggiest
rapid,rapider,rapidest
slack,slacker,slackest
bunny,bunnier,bunniest
zitty,zittier,zittiest
homely,homelier,homeliest
small,smaller,smallest
grayey,grayier,grayiest
cosy,cosier,cosiest
farty,fartier,fartiest
pally,pallier,palliest
tusky,tuskier,tuskiest
viewy,viewier,viewiest
trumpy,trumpier,trumpiest
douce,doucer,doucest
creaky,creakier,creakiest
rear2,rearer,rearest
roily,roilier,roiliest
rootsy,rootsier,rootsiest
shystie,shystier,shystiest
sultry,sultrier,sultriest
batty,battier,battiest
sonly,sonlier,sonliest
unmanly,unmanlier,unmanliest
stick,sticker,stickest
talksy,talksier,talksiest
shiesty,shiestier,shiestiest
crackpotty,crackpottier,crackpottiest
sprawly,sprawlier,sprawliest
pebbly,pebblier,pebbliest
sore,sorer,sorest
saggy,saggier,saggiest
feasty,feastier,feastiest
stedfast,stedfaster,stedfastest
gone,goner,gonest
crook,crooker,crookest
spammy,spammier,spammiest
picky,pickier,pickiest
quaggy,quaggier,quaggiest
luny,lunier,luniest
stripey,stripier,stripiest
ultradry,ultradrier,ultradriest
seldom,seldomer,seldomest
darned,more darned,darnedest
mopy,mopier,mopiest
furry,furrier,furriest
murky,murkier,murkiest
horrid,horrider,horridest
clickbaity,clickbaitier,clickbaitiest
swinging2,swinginger,swingingest
feisty,feistier,feistiest
titchy,titchier,titchiest
smoove,smoover,smoovest
swampy,swampier,swampiest
blirty,blirtier,blirtiest
purty,purtier,purtiest
outer2,more outer,outermost
dungy,dungier,dungiest
yukky,yukkier,yukkiest
doughy,doughier,doughiest
giddie,giddier,giddiest
blushy,blushier,blushiest
bluesy,bluesier,bluesiest
steaky,steakier,steakiest
peepy,peepier,peepiest
cutesy,cutesier,cutesiest
best,better,most best
daggone,more daggone,daggonest
stretchy,stretchier,stretchiest
buggy,buggier,buggiest
milky,milkier,milkiest
broey,broier,broiest
toplofty,toploftier,toploftiest
thotty,thottier,thottiest
mirk,mirker,mirkest
extreme,extremer,extremest
goofy2,goofier,goofiest
proppy,proppier,proppiest
breathly,breathlier,breathliest
delightful,delightfuler,delightfulest
trick,tricker,trickest
ditsy2,ditsier,ditsiest
dusty,dustier,dustiest
male,maler,malest
slight,slighter,slightest
yolky,yolkier,yolkiest
cherry,cherrier,cherriest
jumpy,jumpier,jumpiest
ritzy,ritzier,ritziest
fuzzy,fuzzier,fuzziest
pouncy,pouncier,pounciest
pursy,pursier,pursiest
lazy,lazier,laziest
bristly,bristlier,bristliest
froggy,froggier,froggiest
mommy,mommier,mommiest
peery,peerier,peeriest
uppity,uppitier,uppitiest
yelly,yellier,yelliest
acerb,acerber,acerbest
gey,geyer,geyest
screechy,screechier,screechiest
snitty,snittier,snittiest
trill,triller,trillest
livid,livider,lividest
drudgey,drudgier,drudgiest
special,specialer,specialest
shaly,shalier,shaliest
red2,redder,reddest
noisey,noisier,noisiest
rubbly,rubblier,rubbliest
unlovely,unlovelier,unloveliest
gas,gasser,gassest
clean,cleaner,cleanest
gabby,gabbier,gabbiest
spluttery,splutterier,splutteriest
phony,phonier,phoniest
mossy,mossier,mossiest
poor,poorer,poorest
tan,tanner,tannest
deadly,deadlier,deadliest
bookey,bookier,bookiest
niche,nicher,nichest
soupy,soupier,soupiest
menschy,menschier,menschiest
prancy,prancier,pranciest
far,farther,farthest
gauzy,gauzier,gauziest
auntient,auntienter,auntientest
creasy,creasier,creasiest
dumb2,dumber,dumbest
firm,firmer,firmest
soapy,soapier,soapiest
severe,severer,severest
bitey,bitier,bitiest
torquey,torquier,torquiest
owly,owlier,owliest
gristly,gristlier,gristliest
sprayey,sprayier,sprayiest
wooly,woolier,wooliest
mangy,mangier,mangiest
blowsey,blowsier,blowsiest
flabby,flabbier,flabbiest
dewy,dewier,dewiest
light,lighter,lightest
wavy,wavier,waviest
swarthy,swarthier,swarthiest
tiddy,tiddier,tiddiest
schnazzy,schnazzier,schnazziest
webby,webbier,webbiest
wary,warier,wariest
comly,comlier,comliest
sleigh,sleigher,sleighest
gangly,ganglier,gangliest
lucky,luckier,luckiest
grateful,gratefuller,gratefullest
smidgy,smidgier,smidgiest
fecky,feckier,feckiest
base,baser,basest
throbby,throbbier,throbbiest
rathe,rather,rathest
mean2,meaner,meanest
handy,handier,handiest
hurty2,hurtier,hurtiest
klugey,klugier,klugiest
boring,boringer,boringest
cacky2,cackier,cackiest
ballsy,ballsier,ballsiest
tonguey,tonguier,tonguiest
brummie,brummier,brummiest
dribbly,dribblier,dribbliest
smurfy,smurfier,smurfiest
kind,kinder,kindest
posh,posher,poshest
wealthy,wealthier,wealthiest
uncommon,uncommoner,uncommonest
stinky,stinkier,stinkiest
crimpy,crimpier,crimpiest
goldy,goldier,goldiest
discreet,discreeter,discreetest
silent,silenter,silentest
girly,girlier,girliest
grufty,gruftier,gruftiest
soppy,soppier,soppiest
sound,sounder,soundest
slashy,slashier,slashiest
crabby,crabbier,crabbiest
strait,straiter,straitest
snuggly,snugglier,snuggliest
rethe,rether,rethest
deere,deerer,deerest
chickeny,chickenier,chickeniest
cringey,cringier,cringiest
crispy,crispier,crispiest
kicky,kickier,kickiest
shroomy,shroomier,shroomiest
treacly,treaclier,treacliest
peppery,pepperier,pepperiest
loth,lother,lothest
beeg,beeger,beegest
cool,cooler,coolest
vealy,vealier,vealiest
twitty,twittier,twittiest
crazy,crazier,craziest
schmexy,schmexier,schmexiest
unbusy,unbusier,unbusiest
boxy,boxier,boxiest
upstream,farther,farthest
poky,pokier,pokiest
badassy,badassier,badassiest
blissy,blissier,blissiest
stoor,stoorer,stoorest
lolly,lollier,lolliest
thoan,thoaner,thoanest
eld,elder,eldest
bronzy,bronzier,bronziest
devout,devouter,devoutest
glitchy,glitchier,glitchiest
scrimy,scrimier,scrimiest
pecky,peckier,peckiest
spikey,spikier,spikiest
arty,artier,artiest
old,older,oldest
lonely,lonelier,loneliest
clumpy,clumpier,clumpiest
unable,unabler,unablest
untimely,untimelier,untimeliest
haughty,haughtier,haughtiest
sneezy,sneezier,sneeziest
kwik,kwikker,kwikkest
squidgy,squidgier,squidgiest
saucy,saucier,sauciest
grum,grummer,grummest
unique,uniquer,uniquest
grisly,grislier,grisliest
squishy,squishier,squishiest
greasy,greasier,greasiest
wyde,wyder,wydest
mifty,miftier,miftiest
gooey,gooier,gooiest
gnarly,gnarlier,gnarliest
pwetty,pwettier,pwettiest
snoopy,snoopier,snoopiest
dutch,dutcher,dutchest
tender,tenderer,tenderest
leathery,leatherier,leatheriest
muddy,muddier,muddiest
poppy2,poppier,poppiest
briny,brinier,briniest
dry,drier,driest
dry2,dryer,dryest
good2,better,best
prickly,pricklier,prickliest
skeery,skeerier,skeeriest
frizzly,frizzlier,frizzliest
grim,grimmer,grimmest
smarmy,smarmier,smarmiest
mincy,mincier,minciest
buff,buffer,buffest
stately,statelier,stateliest
current,currenter,currentest
modest,modester,modestest
scrunkly,scrunklier,scrunkliest
tardy,tardier,tardiest
shity,shitier,shitiest
messy,messier,messiest
droff,droffer,droffest
worky,workier,workiest
leggy,leggier,leggiest
assy,assier,assiest
jammie,jammier,jammiest
dotty,dottier,dottiest
kittle,kittler,kittlest
gemmy,gemmier,gemmiest
calm,calmer,calmest
obtuse,obtuser,obtusest
gapey,gapier,gapiest
glorious,gloriouser,gloriousest
lamby,lambier,lambiest
sus2,susser,sussest
matey,matier,matiest
mouthy,mouthier,mouthiest
wolfly,wolflier,wolfliest
yakky,yakkier,yakkiest
krazy,krazier,kraziest
lean,leaner,leanest
wobbly,wobblier,wobbliest
long2,longer,longest
rabid,rabider,rabidest
limy,limier,limiest
costly,costlier,costliest
phat,phatter,phattest
blingy,blingier,blingiest
unseemly,unseemlier,unseemliest
studly,studlier,studliest
snouty,snoutier,snoutiest
yare,yarer,yarest
common,commoner,commonest
ickle,ickler,icklest
stenchy,stenchier,stenchiest
clammy,clammier,clammiest
dreary,drearier,dreariest
sour,sourer,sourest
nasty,nastier,nastiest
soothy,soothier,soothiest
unsteady,unsteadier,unsteadiest
leal,lealer,lealest
drunk,drunker,drunkest
zealous,zealouser,zealousest
jivey,jivier,jiviest
disgusting,disgustinger,disgustingest
chirky,chirkier,chirkiest
flashy,flashier,flashiest
rutty,ruttier,ruttiest
garlicky,garlickier,garlickiest
precise,preciser,precisest
streaky,streakier,streakiest
husky,huskier,huskiest
mirthful,mirthfuller,mirthfullest
wacky,wackier,wackiest
offaly,offalier,offaliest
hubby,hubbier,hubbiest
opaque,opaquer,opaquest
skeezy,skeezier,skeeziest
rude,ruder,rudest
sprouty,sproutier,sproutiest
tiddly2,tiddlier,tiddliest
yucky,yuckier,yuckiest
blashy,blashier,blashiest
bleedy,bleedier,bleediest
dinky,dinkier,dinkiest
healthful,healthfuller,healthfullest
sober,soberer,soberest
sheene,sheener,sheenest
frowsty,frowstier,frowstiest
flighty,flightier,flightiest
new,newer,newest
spinny,spinnier,spinniest
greasey,greasier,greasiest
sallow,sallower,sallowest
cobby,cobbier,cobbiest
fiine,fiiner,fiinest
beery,beerier,beeriest
platy,platier,platiest
sweet,sweeter,sweetest
dree,dreer,dreest
freckly,frecklier,freckliest
scrungy,scrungier,scrungiest
sheisty,sheistier,sheistiest
pranky,prankier,prankiest
thrashy,thrashier,thrashiest
dumpy,dumpier,dumpiest
hateful,hatefuller,hatefullest
german2,more german,germanest
loathly,loathlier,loathliest
woolly,woollier,woolliest
kooky,kookier,kookiest
quacky,quackier,quackiest
gloppy,gloppier,gloppiest
shewy,shewier,shewiest
terrible,terribler,terriblest
frumpy,frumpier,frumpiest
neckbeardy,neckbeardier,neckbeardiest
barky,barkier,barkiest
sissy,sissier,sissiest
quartzy,quartzier,quartziest
bay,bayer,bayest
jammy,jammier,jammiest
greyey,greyier,greyiest
whifty,whiftier,whiftiest
shticky,shtickier,shtickiest
nutty,nuttier,nuttiest
pudsy,pudsier,pudsiest
snug,snugger,snuggest
tanky,tankier,tankiest
heapy,heapier,heapiest
splishy,splishier,splishiest
blousy,blousier,blousiest
doozy,doozier,dooziest
whirly,whirlier,whirliest
raw,rawer,rawest
drippy,drippier,drippiest
butch,butcher,butchest
arm2,armer,armest
distinct,distincter,distinctest
talky,talkier,talkiest
lathy,lathier,lathiest
eerie,eerier,eeriest
dusk,dusker,duskest
ghey,gheyer,gheyest
tottery,totterier,totteriest
snobby,snobbier,snobbiest
large,larger,largest
vague,vaguer,vaguest
beigey,beigier,beigiest
gushy,gushier,gushiest
snithy,snithier,snithiest
impeachy,impeachier,impeachiest
marly,marlier,marliest
nimble,nimbler,nimblest
pouchy,pouchier,pouchiest
glazy,glazier,glaziest
tidy,tidier,tidiest
peachy,peachier,peachiest
hammy,hammier,hammiest
groaty2,groatier,groatiest
curst,curster,curstest
tricky,trickier,trickiest
swift,swifter,swiftest
flappy,flappier,flappiest
cowardly,cowardlier,cowardliest
druggy,druggier,druggiest
sick,sicker,sickest
acrid,acrider,acridest
fratchy,fratchier,fratchiest
cozie,cozier,coziest
pink2,pinker,pinkest
swack,swacker,swackest
stanky2,stankier,stankiest
beachy,beachier,beachiest
bold2,bolder,boldest
unmannerly,unmannerlier,unmannerliest
skiddy,skiddier,skiddiest
spacey,spacier,spaciest
creepy,creepier,creepiest
hoaky,hoakier,hoakiest
pocky,pockier,pockiest
huffy,huffier,huffiest
roolie,roolier,rooliest
wheaty,wheatier,wheatiest
gluey,gluier,gluiest
meowy,meowier,meowiest
joky,jokier,jokiest
slurry,slurrier,slurriest
wassy,wassier,wassiest
mazy,mazier,maziest
fiesty,fiestier,fiestiest
foamy,foamier,foamiest
qualmy,qualmier,qualmiest
duff,duffer,duffest
somber,somberer,somberest
heartthrobby,heartthrobbier,heartthrobbiest
chic,chicer,chicest
ugly,uglier,ugliest
lame,lamer,lamest
fausty,faustier,faustiest
fusty,fustier,fustiest
exploity,exploitier,exploitiest
squeezy,squeezier,squeeziest
wily,wilier,wiliest
twatty,twattier,twattiest
snell,sneller,snellest
scrunchy,scrunchier,scrunchiest
humpy,humpier,humpiest
likable,likabler,likablest
near,nearer,nearest
pesky,peskier,peskiest
